CbRt,SGZ,P,Q,CrRl,AbRl,DfClb,DfRlRt,DfDfClb,ST1,ST2,ST3,ST4,DfST1,DfST2,DfST3,DfST4,Sa,Target
-276,13,-0.18,0.09,0.6,-5,-10,-0.005,0,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.018
157,-7,-0.3,0.15,0.2,-13,-11,-0.013,0.1,-0.0009,-0.001,-0.001,-0.001,0.0001,0,0,0,-0.001,0.019
-146,22,0.2,0.07,-0.4,-6,-7,-0.003,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.022
-229,19,0.2,0.09,1.6,-4,-10,-0.008,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.02
-194,-29,0.38,0.05,-0.5,-19,2,0.017,2,-0.0014,-0.0014,-0.0014,-0.0014,0,0,0,0,-0.0014,0.038
-34,-19,-0.2,-0.02,-0.8,-13,8,-0.003,0.3,-0.0007,-0.0008,-0.0008,-0.0008,0.0001,0,0.0001,0,-0.0008,0.018
-244,21,-0.08,-0.12,-1.7,-9,4,0.011,3.2,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.015
23,-7,0.19,0.01,0.6,-5,-1,-0.002,-0.2,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.018
-223,-39,-0.36,0.01,-0.1,-12,2,0.003,0.5,-0.0005,-0.0006,-0.0006,-0.0007,0,0,0.0002,0,-0.0007,0.017
-123,41,0.17,0.13,0.3,-6,-14,0.002,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.018
155,-19,-0.36,0.07,1,-13,1,-0.019,0,-0.0015,-0.0015,-0.0015,-0.0015,0,0,0,0,-0.0015,0.03
-304,8,-0.27,0.06,0,-15,4,-0.015,0,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,0.021
247,-16,0.27,-0.03,-1.1,-14,11,0.021,0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.019
-7,-27,-0.23,-0.15,1.3,-13,23,-0.004,0.2,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.016
483,-28,-0.2,0.21,1.5,-17,-2,-0.043,-2.4,-0.0017,-0.0018,-0.0018,-0.0018,0.0001,0,0,0,-0.0018,0.023
459,3,-0.13,-0.06,-0.4,-12,12,0.006,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.019
-107,-52,-0.07,0.18,-0.4,-11,-12,-0.004,-0.2,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.027
-39,-66,0.31,-0.16,-1.4,-7,19,0.015,0.6,-0.0002,-0.0002,-0.0002,-0.0002,0,0,0,0,-0.0002,0.016
-236,2,0.01,0.27,0.4,-10,-26,-0.018,-0.3,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.018
-116,-9,0.62,0.13,-1.2,-14,-7,0.012,0.9,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.025
-110,-2,0.42,0.18,-0.1,-13,-8,0.001,-1.8,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0,0,0,-0.0007,0.021
-189,-39,0.32,0.11,0.4,-12,-6,0.004,-0.4,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.022
-310,-15,0.26,0.08,0.2,-6,-8,0,-0.3,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.016
-229,-31,-0.44,-0.06,0,-6,9,-0.008,-0.4,-0.0003,-0.0005,-0.0005,-0.0005,0.0001,0,0.0001,0,-0.0005,0.016
217,-93,0.47,-0.04,-1.4,-7,4,0.013,-0.6,-0.0002,-0.0002,-0.0002,-0.0002,-0.0001,0,0,0,-0.0002,0.02
-54,-36,0.7,0.15,0.2,-18,3,0.027,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,-0.0002,0,0,0,-0.0008,0.035
323,-4,-0.26,-0.04,-0.7,-11,8,-0.003,0,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.018
-9,-11,0.06,0.12,1.2,-7,-13,-0.007,0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.018
-62,26,0.33,0.25,-1.4,-17,-9,0.011,-0.2,-0.0017,-0.0014,-0.0014,-0.0012,-0.0004,0,-0.0003,0,-0.0012,0.036
-222,-28,0.12,0.11,-0.9,-11,-6,0.01,-0.2,-0.0009,-0.0008,-0.0008,-0.0007,-0.0002,0,-0.0002,0,-0.0007,0.032
-262,-20,0.52,0.01,0.4,-8,-6,0.002,0.2,-0.0004,-0.0004,-0.0004,-0.0004,0,0,-0.0001,0,-0.0004,0.019
17,-16,0.06,-0.03,0,-6,4,0.001,-0.2,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.024
-536,46,-0.19,0.04,0.7,-10,-4,-0.006,1.5,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.018
-144,-8,-0.03,0.12,-0.5,-10,-8,-0.001,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.025
127,-76,0.68,-0.1,-1.4,-17,26,0.023,-1.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
612,11,0.18,0.05,-1.8,-20,13,0.029,-0.3,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.024
-413,-34,-0.13,-0.04,1,-6,-4,-0.02,1.7,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.016
-216,11,-0.31,-0.04,0.3,-6,4,-0.005,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.017
203,-24,-0.05,-0.07,-1.3,-8,9,0.013,0,-0.0004,-0.0003,-0.0003,-0.0003,-0.0001,0,0,0,-0.0003,0.021
185,-12,0.13,-0.05,0.2,-7,6,0.002,0.3,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.019
-47,-27,-0.33,-0.03,-0.8,-8,19,-0.002,-2.2,-0.0005,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.021
-49,-14,0.44,0.02,-0.1,-7,-1,0.007,-0.1,-0.0004,-0.0004,-0.0004,-0.0003,-0.0002,0,-0.0002,0,-0.0003,0.02
273,-15,0.25,0.05,-0.4,-13,3,0.004,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.025
225,-45,0.45,0.04,-0.3,-10,10,0.007,-0.8,-0.0007,-0.0006,-0.0006,-0.0005,-0.0002,0,-0.0002,0,-0.0005,0.021
-25,-42,-0.68,0,-0.4,-10,5,0.013,-1.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.016
-348,-15,0.19,0.11,-0.2,-10,-3,0.002,-1.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,-0.0002,0,-0.0006,0.021
-114,23,-0.13,-0.04,-0.4,-10,8,-0.001,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.019
-165,-31,0.17,0,-0.7,-8,9,-0.008,-1.7,-0.0005,-0.0006,-0.0006,-0.0006,0.0001,0,0,0,-0.0006,0.016
150,45,0.16,0.11,1.3,-5,-13,-0.005,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.022
259,34,-0.38,0.11,-0.4,-13,-5,-0.002,0,-0.0008,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,0.02
-23,-22,-0.28,0.1,-0.3,-7,-9,0.003,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.017
-349,-33,-0.59,-0.05,-0.1,-14,5,0.012,1.2,-0.002,-0.002,-0.002,-0.002,0,0,0,0,-0.002,0.058
163,9,-0.11,0.06,0,-13,-6,0.004,0.9,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.02
-543,-18,0.01,0.02,-0.7,-8,-3,0.001,0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.015
-526,-7,-0.51,0,0.7,-11,19,-0.009,-2.4,-0.0013,-0.0014,-0.0014,-0.0014,0.0001,0,0,0,-0.0014,0.032
-112,-9,-0.22,-0.02,-0.8,-11,6,0.001,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.019
295,-19,-0.25,-0.09,-1.1,-9,10,0.009,0.6,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.018
135,-7,0.01,-0.02,-0.1,-9,4,0,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.019
-367,-15,0.53,0.24,1.6,-11,-3,-0.032,-2.1,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,0.02
76,-26,0.1,0.11,0.7,-17,2,0.012,-0.1,-0.0011,-0.0009,-0.0009,-0.0009,-0.0002,0,-0.0002,0,-0.0009,0.021
-35,-4,0.36,0.09,-0.1,-11,-10,-0.01,1.5,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.022
-261,-15,0.16,0.07,-0.5,-7,-7,-0.002,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.017
-55,-31,-0.54,-0.06,-0.2,-18,18,-0.019,2,-0.0011,-0.0014,-0.0014,-0.0014,0.0003,0,0,0,-0.0014,0.017
-73,-47,-0.3,-0.04,-0.8,-11,8,-0.006,0,-0.0005,-0.0007,-0.0007,-0.0008,0.0001,0,0.0001,0,-0.0008,0.018
103,-2,-0.13,0.16,-1,-11,-5,0.009,-1.9,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.021
-327,-14,0.07,0.13,1.8,-16,-2,-0.013,-0.2,-0.0013,-0.0013,-0.0013,-0.0013,0,0,0,0,-0.0013,0.02
241,-11,0.3,0.04,1.5,-18,10,-0.023,-0.2,-0.0027,-0.0027,-0.0027,-0.0027,0,0,0,0,-0.0027,0.049
79,-15,0.24,0.01,-0.6,-10,5,0.012,-0.2,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.02
-115,-18,-0.12,0.08,0.1,-11,-6,-0.019,-0.3,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.017
-618,-42,-0.29,0.07,1.2,-5,-4,-0.002,-0.6,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.018
299,-52,0.42,-0.11,-0.4,-6,12,0.009,-0.1,-0.0002,-0.0002,-0.0002,-0.0002,0,0,0,0,-0.0002,0.017
-174,5,-0.46,0.08,1,-10,-4,-0.016,-0.2,-0.0013,-0.0013,-0.0013,-0.0014,0,0,0.0001,0,-0.0014,0.033
-233,5,0.17,0.08,-1.5,-13,-4,0.014,0,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.021
98,1,-0.18,-0.06,-0.5,-9,8,0.005,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.019
-152,-31,0.01,0.06,-1,-12,1,0.027,-1,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.015
124,26,0.08,0.03,-0.3,-7,-2,0.006,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.018
289,-44,-0.4,-0.17,0.9,-7,19,0.002,0.4,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.016
-255,-4,0.31,0.19,-1.4,-15,-10,0.011,0.7,-0.0016,-0.0016,-0.0016,-0.0016,0,0,0,0,-0.0016,0.055
9,-14,-0.59,-0.08,-1.9,-14,7,0.001,1.9,-0.0015,-0.0015,-0.0015,-0.0015,0,0,0,0,-0.0015,0.035
-271,-28,0.03,-0.01,0.4,-10,5,-0.004,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.022
-200,-56,0,0.03,-0.4,-11,4,0.007,0.3,-0.0007,-0.0007,-0.0007,-0.0007,0.0001,0,0,0,-0.0007,0.028
-173,14,0.32,0.12,0.7,-10,-3,-0.008,-0.6,-0.0014,-0.0014,-0.0014,-0.0014,0,0,0,0,-0.0014,0.044
87,-31,-0.33,-0.02,1.5,-9,10,-0.006,-1.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.018
-150,26,-0.18,0.38,-1,-20,-22,0.006,0.1,-0.0011,-0.0011,-0.0011,-0.0011,0,0,0,0,-0.0011,0.025
50,-22,0.27,0.09,-0.5,-15,7,0.014,-0.9,-0.0008,-0.0007,-0.0007,-0.0007,-0.0003,0,0,0,-0.0007,0.02
-442,-19,-0.21,-0.04,1.3,-5,2,-0.011,0.3,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.014
100,-24,-0.15,-0.02,-1.1,-8,4,0.01,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.022
-263,12,-0.36,0.21,0.5,-10,-16,-0.022,-0.2,-0.0014,-0.0014,-0.0014,-0.0014,0,0,0,0,-0.0014,0.028
-89,15,0.28,0.04,1,-5,-4,-0.004,-0.1,-0.0004,-0.0003,-0.0003,-0.0004,-0.0001,0,0,0,-0.0004,0.019
283,-12,0.08,0.04,-0.6,-8,-2,0.01,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.028
403,-16,0.4,0.14,0.2,-6,-8,0.001,-2.4,-0.0004,-0.0003,-0.0003,-0.0003,-0.0002,0,0,0,-0.0003,0.02
116,-38,-0.2,0.02,0.1,-8,1,0,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.017
-113,-16,-0.19,0.06,1.3,-8,-6,-0.011,0,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.017
-112,-4,0.46,-0.02,-0.6,-15,10,0.026,0.1,-0.0004,-0.0004,-0.0004,-0.0004,-0.0001,0,0,0,-0.0004,0.018
-4,-40,-0.66,-0.11,0.1,-11,12,-0.022,2,-0.0007,-0.0009,-0.0009,-0.0011,0.0002,0,0.0002,0,-0.0011,0.018
-217,-18,-0.09,0.22,-0.8,-14,-14,0.019,0.4,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.037
-213,-25,-0.25,0.18,-0.2,-12,-14,-0.02,0,-0.0011,-0.0011,-0.0011,-0.0011,0,0,0,0,-0.0011,0.019
-47,-7,0.24,0.16,-1.3,-14,-9,0.021,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.022
119,3,-0.23,0.11,0.3,-9,-10,-0.009,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.025
-11,-7,0.32,-0.06,-0.5,-7,8,0.006,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.018
-37,-2,0.62,0.17,0.7,-11,-3,-0.005,-1.4,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0,-0.0002,0,-0.0007,0.021
305,24,0.13,0.2,0.6,-14,-12,-0.006,-0.1,-0.0011,-0.0011,-0.0011,-0.0011,0,0,0,0,-0.0011,0.028
-202,13,-0.08,0.25,-2.2,-16,-16,0.006,0,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.019
-51,10,0.12,0.12,-1.7,-16,-2,0.021,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
-182,8,0.24,0.14,-0.4,-7,-14,0.01,-0.2,-0.0003,-0.0003,-0.0003,-0.0003,-0.0002,0,0,0,-0.0003,0.022
149,7,-0.12,0.01,0.6,-5,3,0.003,-1.2,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.018
-250,-41,0.62,0.08,-1,-15,3,0.006,-0.7,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.018
518,-40,-0.39,-0.03,0.2,-13,5,-0.014,0.8,-0.0009,-0.001,-0.001,-0.001,0.0001,0,0,0,-0.001,0.018
-10,-23,-0.41,0.1,-0.6,-7,-11,0.001,0.7,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.019
258,-12,0.39,0.05,-0.4,-8,-4,0.005,0,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.02
-252,-38,0.34,-0.03,-0.3,-7,6,0.007,-1.1,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.015
-23,-21,0.13,-0.04,0.5,-8,10,0.006,-0.5,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.017
300,24,0.18,0.21,1.7,-14,-12,-0.008,-0.5,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.025
226,-8,-0.05,-0.04,-0.2,-7,6,-0.004,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.018
212,-7,0.35,0.08,-0.5,-12,-6,0.012,0.6,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.019
-95,-19,0.05,0.02,0.4,-9,1,0.004,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.016
281,-26,0.09,0.3,0,-18,-17,-0.011,-0.4,-0.0013,-0.0013,-0.0013,-0.0013,0,0,0,0,-0.0013,0.025
429,-31,0.03,0.02,-2.1,-20,16,0.036,0.1,-0.0007,-0.0007,-0.0007,-0.0005,-0.0002,0,-0.0002,0,-0.0005,0.018
20,26,0.32,0.03,0.7,-12,3,0.006,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.02
-493,20,-0.14,0.1,1.8,-10,-7,-0.021,-0.5,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.018
-608,4,0.39,0.01,1.2,-7,1,-0.003,-0.5,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.018
89,14,-0.31,-0.11,0.8,-6,14,-0.003,-0.7,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.02
250,-47,-0.2,-0.1,-0.2,-10,18,0.017,-0.8,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.018
117,-34,0.55,0.16,0.8,-17,-5,-0.001,-0.5,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.023
327,0,0.41,0.18,0.9,-14,-4,-0.005,-1.6,-0.0011,-0.0011,-0.0011,-0.0011,0,0,0,0,-0.0011,0.029
-371,-86,-0.51,-0.02,0.2,-10,2,0.003,0.6,-0.0005,-0.0006,-0.0006,-0.0006,0.0001,0,0.0001,0,-0.0006,0.017
393,-40,0.64,0.18,0.2,-18,4,0.012,-1.7,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.026
193,-45,-0.2,-0.04,0.4,-9,7,-0.004,0,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.018
335,-8,0.24,0.17,-1.1,-17,-5,0.005,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,0.021
-342,-25,0.08,0.06,0.4,-8,-5,0.005,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.017
-257,-34,0.14,-0.14,-0.3,-19,16,0.021,2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.02
-17,-26,0.43,0.02,1.8,-8,-8,-0.006,0.5,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.024
-419,-38,-0.26,0.07,1,-13,5,-0.009,-1,-0.0011,-0.0011,-0.0011,-0.0011,0,0,0,0,-0.0011,0.023
-215,-19,0.11,0.07,1.3,-15,7,0.012,-1.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0,-0.0002,0,-0.0007,0.019
-404,-11,-0.02,0.12,1,-19,3,-0.023,0.4,-0.0018,-0.0018,-0.0018,-0.0018,0,0,0,0,-0.0018,0.022
-517,-49,0.1,0.07,-2.3,-14,3,0.021,0.1,-0.0011,-0.0011,-0.0011,-0.0011,-0.0002,0,0,0,-0.0011,0.045
-34,-38,0.38,0.26,-0.2,-20,-2,-0.006,-0.3,-0.0023,-0.0022,-0.0022,-0.0021,-0.0002,0,-0.0002,0,-0.0021,0.04
660,-17,0.35,0.11,1,-18,6,0.011,-2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.02
171,-9,-0.27,0.06,-0.4,-11,2,-0.001,-0.2,-0.002,-0.002,-0.002,-0.002,0,0,-0.0001,0,-0.002,0.064
103,-29,-0.24,0.09,1,-16,3,-0.002,-0.2,-0.0013,-0.0013,-0.0013,-0.0013,0,0,0,0,-0.0013,0.031
-423,9,-0.45,0,0.4,-11,5,-0.005,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.016
-49,-30,0.36,0.12,-0.4,-16,1,0.012,-0.2,-0.0011,-0.0009,-0.0009,-0.0009,-0.0002,0,0,0,-0.0009,0.029
-247,-43,0.42,0.05,-1.4,-11,-1,0.021,-0.2,-0.0004,-0.0003,-0.0003,-0.0003,-0.0002,0,0,0,-0.0003,0.019
-356,-29,-0.45,0.17,0.4,-15,-7,0.003,-0.1,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,0.027
-538,24,-0.16,0.2,1.2,-14,-14,-0.015,0,-0.0011,-0.0011,-0.0011,-0.0011,0,0,0,0,-0.0011,0.018
311,-30,0.18,-0.06,-0.8,-8,8,0.012,-0.2,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.024
-666,20,-0.25,0.16,0.9,-7,-17,0.001,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.013
-7,2,-0.17,0.06,1.8,-4,-7,-0.009,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.017
-298,-5,-0.08,0.11,-0.3,-10,-9,0.016,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.019
-216,-30,-0.19,-0.23,-0.9,-20,12,0.008,4,-0.0018,-0.0018,-0.0018,-0.0018,0,0,0,0,-0.0018,0.032
157,-40,-0.02,-0.09,-0.3,-11,14,0.018,0,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.017
-144,-4,-0.24,0.05,0.5,-6,-6,-0.004,0,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.017
-251,-46,-0.56,0.2,0.4,-18,-6,0.004,-0.3,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,0.022
-312,-43,0.34,0.1,-2,-12,-5,0.013,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.016
221,27,0.27,0.1,0.6,-5,-10,-0.005,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.021
